image_name,iou_hsv,green_area_hsv_m2,green_percent_hsv,iou_kmeans,green_area_kmeans_m2,green_percent_kmeans,iou_combined,green_area_combined_m2,green_percent_combined
541353_sat.jpg,0.9813,1494928.5,99.78,0.9833,1498176.0,100.0,0.9833,1498176.0,100.0
575902_sat.jpg,0.9864,1484823.25,99.11,0.995,1498176.0,100.0,0.995,1498176.0,100.0
893904_sat.jpg,0.4333,1476027.5,98.52,0.4583,1385287.5,92.46,0.4358,1498158.75,100.0
644150_sat.jpg,0.5391,1448699.0,96.7,0.5667,1357770.5,90.63,0.5658,1496322.75,99.88
713813_sat.jpg,0.8614,1421192.25,94.86,0.9022,1478356.0,98.68,0.9027,1497428.25,99.95
585043_sat.jpg,0.994,1489249.0,99.4,0.9298,1393509.75,93.01,0.9992,1497460.0,99.95
882451_sat.jpg,0.5848,1458400.5,97.35,0.5995,1498176.0,100.0,0.5995,1498176.0,100.0
552001_sat.jpg,0.016,1438272.75,96.0,0.0175,1401216.25,93.53,0.0163,1497614.5,99.96
698065_sat.jpg,0.6998,1396852.25,93.24,0.7177,1424917.25,95.11,0.7605,1498099.0,99.99
309818_sat.jpg,0.0168,1414477.0,94.41,0.0178,1349679.5,90.09,0.0163,1497882.0,99.98
479682_sat.jpg,0.797,1486346.25,99.21,0.8042,1498176.0,100.0,0.8042,1498176.0,100.0
351727_sat.jpg,0.6789,1385405.25,92.47,0.7686,1438129.25,95.99,0.7516,1498079.75,99.99
927644_sat.jpg,0.0053,1484120.5,99.06,0.0055,1463924.25,97.71,0.0053,1498012.25,99.99
930028_sat.jpg,0.1906,1485999.0,99.19,0.1959,1451799.75,96.9,0.1905,1497974.25,99.99
888343_sat.jpg,0.981,1492311.5,99.61,0.9787,1486306.5,99.21,0.9835,1497309.5,99.94
2774_sat.jpg,0.035,1472184.25,98.27,0.0361,1436846.0,95.91,0.0347,1497916.25,99.98
669010_sat.jpg,0.7016,1463915.0,97.71,0.7177,1394404.5,93.07,0.6971,1498007.75,99.99
838669_sat.jpg,0.9422,1439492.25,96.08,0.9859,1479976.0,98.79,0.9793,1497896.5,99.98
280703_sat.jpg,0.7137,1490347.0,99.48,0.7141,1498176.0,100.0,0.7141,1498176.0,100.0
763892_sat.jpg,0.7185,1076470.5,71.85,1.0,1498176.0,100.0,1.0,1498176.0,100.0
56924_sat.jpg,0.9964,1494543.0,99.76,0.9987,1498176.0,100.0,0.9987,1498176.0,100.0
36183_sat.jpg,0.9708,1464766.0,97.77,0.9918,1498176.0,100.0,0.9918,1498176.0,100.0
741105_sat.jpg,0.758,1478124.0,98.66,0.7655,1498176.0,100.0,0.7655,1498176.0,100.0
505217_sat.jpg,0.9707,1494373.0,99.75,0.9393,1414601.75,94.42,0.9731,1498044.75,99.99
264436_sat.jpg,0.674,1487791.75,99.31,0.6772,1477377.0,98.61,0.6715,1495472.25,99.82
403978_sat.jpg,0.9382,1458700.5,97.37,0.9658,1480560.5,98.82,0.9588,1497267.0,99.94
397864_sat.jpg,0.9152,1473233.0,98.34,0.9113,1437715.25,95.96,0.9282,1498170.0,100.0
3484_sat.jpg,0.9544,1483272.75,99.01,0.9516,1470515.0,98.15,0.9625,1496538.75,99.89
686781_sat.jpg,0.8772,1457814.75,97.31,0.9025,1474551.0,98.42,0.8983,1498084.5,99.99
419820_sat.jpg,0.8182,1459133.5,97.39,0.8438,1498176.0,100.0,0.8438,1498176.0,100.0
326173_sat.jpg,0.7559,1430807.75,95.5,0.8155,1376590.5,91.88,0.7792,1497473.75,99.95
472774_sat.jpg,0.2507,1493109.0,99.66,0.2499,1498176.0,100.0,0.2499,1498176.0,100.0
635841_sat.jpg,0.9581,1468222.25,98.0,0.94,1401664.0,93.56,0.9776,1498134.25,100.0
77669_sat.jpg,0.8769,1469239.25,98.07,0.8832,1462877.0,97.64,0.8892,1498135.25,100.0
706996_sat.jpg,0.0,1484444.75,99.08,0.0,1498176.0,100.0,0.0,1498176.0,100.0
659953_sat.jpg,0.5741,1487837.75,99.31,0.5858,1453108.25,96.99,0.5718,1497224.75,99.94
234269_sat.jpg,0.9761,1462362.5,97.61,1.0,1498176.0,100.0,1.0,1498176.0,100.0
548686_sat.jpg,0.4361,1495927.25,99.85,0.4458,1460705.5,97.5,0.4356,1497879.5,99.98
708588_sat.jpg,0.9963,1492594.0,99.63,0.9212,1380133.25,92.12,1.0,1498164.5,100.0
334677_sat.jpg,0.826,1384285.75,92.4,0.8873,1498176.0,100.0,0.8873,1498176.0,100.0
