image_name,iou_hsv,green_area_hsv_m2,green_percent_hsv,iou_kmeans,green_area_kmeans_m2,green_percent_kmeans,iou_combined,green_area_combined_m2,green_percent_combined
455374_sat.jpg,0.3368,1497613.5,99.96,0.3367,1498176.0,100.0,0.3367,1498176.0,100.0
847604_sat.jpg,0.9871,1479254.75,98.74,0.9997,1498176.0,100.0,0.9997,1498176.0,100.0
918446_sat.jpg,0.9804,1485979.75,99.19,0.9884,1498176.0,100.0,0.9884,1498176.0,100.0
215525_sat.jpg,0.9864,1494834.75,99.78,0.9885,1498176.0,100.0,0.9885,1498176.0,100.0
650253_sat.jpg,0.9767,1463274.25,97.67,1.0,1498176.0,100.0,1.0,1498176.0,100.0
444902_sat.jpg,0.9313,1490375.75,99.48,0.9352,1498176.0,100.0,0.9352,1498176.0,100.0
33573_sat.jpg,0.9591,1471686.75,98.23,0.9761,1498176.0,100.0,0.9761,1498176.0,100.0
225393_sat.jpg,0.0,1487583.0,99.29,0.0,1498176.0,100.0,0.0,1498176.0,100.0
679507_sat.jpg,0.9655,1462028.5,97.59,0.9885,1498176.0,100.0,0.9885,1498176.0,100.0
508676_sat.jpg,0.8267,1496883.25,99.91,0.8271,1498176.0,100.0,0.8271,1498176.0,100.0
848780_sat.jpg,0.6806,1495702.75,99.83,0.6796,1498176.0,100.0,0.6796,1498176.0,100.0
393043_sat.jpg,0.9236,1497682.0,99.97,0.9238,1498176.0,100.0,0.9238,1498176.0,100.0
767012_sat.jpg,0.9775,1491361.25,99.55,0.9818,1498176.0,100.0,0.9818,1498176.0,100.0
530040_sat.jpg,0.868,1497023.0,99.92,0.8684,1498176.0,100.0,0.8684,1498176.0,100.0
461001_sat.jpg,0.9648,1466890.5,97.91,0.9834,1498176.0,100.0,0.9834,1498176.0,100.0
208695_sat.jpg,0.9413,1433802.5,95.7,0.9834,1498176.0,100.0,0.9834,1498176.0,100.0
338798_sat.jpg,0.985,1475728.0,98.5,1.0,1498176.0,100.0,1.0,1498176.0,100.0
242583_sat.jpg,0.9428,1473679.75,98.36,0.9565,1498176.0,100.0,0.9565,1498176.0,100.0
556452_sat.jpg,0.991,1494993.5,99.79,0.9929,1498176.0,100.0,0.9929,1498176.0,100.0
818254_sat.jpg,0.8787,1489314.5,99.41,0.8803,1498176.0,100.0,0.8803,1498176.0,100.0
27460_sat.jpg,0.9451,1478141.75,98.66,0.9567,1498176.0,100.0,0.9567,1498176.0,100.0
499600_sat.jpg,0.9498,1493263.25,99.67,0.9523,1498176.0,100.0,0.9523,1498176.0,100.0
96841_sat.jpg,0.8835,1490351.75,99.48,0.8861,1498176.0,100.0,0.8861,1498176.0,100.0
95863_sat.jpg,0.55,1497149.25,99.93,0.5499,1498176.0,100.0,0.5499,1498176.0,100.0
322400_sat.jpg,0.9944,1495256.5,99.81,0.9961,1498176.0,100.0,0.9961,1498176.0,100.0
878990_sat.jpg,0.8287,1490881.0,99.51,0.8328,1498176.0,100.0,0.8328,1498176.0,100.0
273274_sat.jpg,0.9497,1454604.25,97.09,0.977,1498176.0,100.0,0.977,1498176.0,100.0
875409_sat.jpg,0.9951,1494490.75,99.75,0.9971,1498176.0,100.0,0.9971,1498176.0,100.0
537221_sat.jpg,0.6851,1496380.75,99.88,0.6855,1498176.0,100.0,0.6855,1498176.0,100.0
419820_sat.jpg,0.828,1473794.25,98.37,0.8438,1498176.0,100.0,0.8438,1498176.0,100.0
708527_sat.jpg,0.9688,1490536.0,99.49,0.9722,1498176.0,100.0,0.9722,1498176.0,100.0
271941_sat.jpg,0.1694,1475397.75,98.48,0.1683,1498176.0,100.0,0.1683,1498176.0,100.0
875328_sat.jpg,0.9858,1484315.25,99.07,0.9949,1498176.0,100.0,0.9949,1498176.0,100.0
137806_sat.jpg,0.9098,1470720.75,98.17,0.9183,1498176.0,100.0,0.9183,1498176.0,100.0
457070_sat.jpg,0.4419,1487914.0,99.32,0.4399,1498176.0,100.0,0.4399,1498176.0,100.0
233615_sat.jpg,0.826,1466836.5,97.91,0.8455,1498176.0,100.0,0.8455,1498176.0,100.0
762470_sat.jpg,0.3714,1491782.75,99.57,0.3711,1498176.0,100.0,0.3711,1498176.0,100.0
627583_sat.jpg,0.2507,1472790.75,98.31,0.2507,1498176.0,100.0,0.2507,1498176.0,100.0
516317_sat.jpg,0.9898,1494441.75,99.75,0.9918,1498176.0,100.0,0.9918,1498176.0,100.0
998002_sat.jpg,0.988,1485341.25,99.14,0.9962,1498176.0,100.0,0.9962,1498176.0,100.0
343425_sat.jpg,0.9931,1492287.0,99.61,0.9971,1498176.0,100.0,0.9971,1498176.0,100.0
591815_sat.jpg,0.9142,1492351.0,99.61,0.9171,1498176.0,100.0,0.9171,1498176.0,100.0
262885_sat.jpg,0.1714,1486551.0,99.22,0.1712,1498176.0,100.0,0.1712,1498176.0,100.0
949235_sat.jpg,0.173,1299553.75,86.74,0.1501,1498176.0,100.0,0.1501,1498176.0,100.0
